path,language,bytes
lab05/2020017410.c,c,4144
lab05/BST.c,c,4144
lab06/2020017410.c,c,4836
lab06/Heap.c,c,4836
lab07/2020017410.c,c,5248
lab08/2020017410.c,c,7258
lab09/2020017410.c,c,8483
lab10/2020017410.c,c,2883
lab11/2020017410.c,c,4492
